Murder,Rape,Kidnap,Dacoity/theft,Fraud,Sexual_harassment,Offences_against_state,Blocks,Villages,Clusters,Total_population,Urban_population,Sex_ratio,Overall_literacy,Female_lit,Male_lit,Area_sqkm,Total_crimes
130,170,24,619,63,204,6,5,256,45,956907.0,25.39,861.0,80.83,70.96,89.44,1834.0,2199
82,75,82,822,26,199,11,7,314,60,1332042.0,22.82,870.0,72.73,61.58,82.49,2702.0,2875
71,100,133,535,25,184,4,6,297,56,1072861.0,21.97,880.0,70.56,60.69,79.33,2317.0,1941
90,310,379,1373,241,338,9,6,468,110,1506323.0,30.27,886.0,76.44,68.29,83.73,2520.0,4235
48,114,61,917,159,172,2,6,439,80,964231.0,28.93,889.0,76.7,69.18,83.46,1530.0,2636
103,257,75,571,61,198,5,5,450,60,1089406.0,11.38,906.0,56.14,37.58,72.98,1507.0,2567
119,150,97,1074,89,305,10,5,306,51,1040493.0,22.65,879.0,70.32,56.4,82.6,1359.0,3309
26,110,146,670,94,111,4,4,279,43,558890.0,54.87,870.0,83.44,77.48,88.65,898.0,1659
87,204,100,1683,134,342,22,6,201,43,1202811.0,45.97,861.0,77.46,68.23,85.45,1268.0,4724
60,139,114,957,100,216,5,5,396,75,896129.0,25.82,898.0,82.23,70.54,92.92,1594.0,2834
144,207,85,1378,99,282,5,5,152,43,1058683.0,42.02,868.0,80.37,71.19,88.42,1745.0,3912
67,154,77,952,100,267,12,7,422,99,1295114.0,24.75,896.0,70.35,61.16,78.64,4277.0,3558
185,189,83,1367,121,290,14,8,350,84,1480080.0,30.52,853.0,80.83,70.88,89.4,2122.0,4406
65,157,386,1163,117,253,10,6,591,80,1214162.0,38.94,877.0,78.93,71.99,85.06,1768.0,3433
14,69,20,130,18,37,0,15,1150,266,518844.0,6.98,989.0,73.19,62.14,84.19,6522.0,804
39,132,32,251,54,140,1,19,1785,358,1507223.0,5.73,1013.0,86.49,80.62,92.55,5739.0,2758
2,30,5,52,2,9,0,3,216,55,84298.0,0.0,818.0,80.77,71.34,88.37,6401.0,227
13,48,24,104,28,56,0,6,193,131,437474.0,9.43,950.0,80.14,71.01,88.8,5503.0,941
21,141,46,134,61,166,1,20,1804,380,999518.0,6.27,1012.0,82.81,74.33,91.51,3950.0,2024
36,117,39,271,61,101,0,20,1639,321,813384.0,24.77,916.0,84.55,77.8,90.73,5131.0,2015
10,84,19,100,27,72,0,13,718,205,530164.0,10.8,915.0,79.98,72.55,86.76,2825.0,912
6,49,24,178,40,43,2,7,983,149,576670.0,17.7,884.0,85.02,78.02,91.19,1936.0,964
13,69,16,97,64,95,1,6,394,102,521057.0,8.62,977.0,87.23,81.67,92.75,1540.0,1123
25,57,64,182,21,132,0,12,523,96,1070144.0,26.04,937.0,64.32,54.15,74.13,3574.0,1341
7,12,40,71,9,62,0,5,205,40,385099.0,16.89,911.0,57.82,46.24,68.41,345.0,626
27,69,16,84,13,82,0,10,388,80,409576.0,7.95,922.0,65.97,50.34,80.36,8912.0,706
15,2,20,71,3,57,0,4,148,32,297003.0,15.76,869.0,59.99,47.62,70.74,259.0,469
107,204,73,696,162,296,0,14,861,124,1526406.0,49.65,871.0,83.98,77.41,89.77,2342.0,4358
1,6,2,6,0,0,0,7,134,54,143388.0,8.89,775.0,74.49,58.05,86.73,14036.0,109
36,58,36,127,18,80,0,12,495,98,615711.0,14.38,877.0,73.5,64.56,81.4,2502.0,1317
7,18,18,50,6,32,0,7,163,57,231037.0,6.42,917.0,58.54,44.13,71.75,1644.0,399
13,21,44,99,12,184,0,6,282,48,422786.0,18.77,951.0,60.35,49.74,70.58,410.0,866
32,24,42,68,7,81,0,13,391,104,875564.0,11.33,843.0,66.92,54.79,77.1,2379.0,722
18,21,21,41,6,27,0,8,359,64,570060.0,13.8,913.0,65.0,53.81,75.41,1086.0,366
10,26,23,58,9,51,0,6,139,48,283313.0,4.16,901.0,56.9,40.04,71.97,1329.0,688
11,49,29,54,9,37,0,6,261,53,314714.0,8.49,891.0,59.42,47.55,69.93,1719.0,783
24,22,12,63,10,18,0,5,318,35,318611.0,16.83,886.0,82.48,74.39,89.76,904.0,664
44,3,37,72,2,32,0,4,253,32,265960.0,5.62,951.0,62.49,52.77,71.86,312.0,501
43,41,71,650,82,325,0,8,94,65,1269751.0,98.73,879.0,71.21,63.47,77.95,1979.0,2548
26,90,19,102,7,54,0,11,361,86,555357.0,19.72,863.0,69.9,58.22,79.93,2637.0,1214
56,189,97,913,147,205,31,9,780,101,2061918.0,47.69,916.0,73.48,61.46,84.5,2883.0,3211
63,65,37,175,45,113,12,12,1169,116,1042304.0,6.03,951.0,62.14,51.91,71.85,3718.0,1318
116,75,63,454,99,187,14,10,2085,105,1491879.0,17.31,921.0,66.34,52.39,79.13,2477.0,2303
96,183,155,1353,65,181,36,9,1155,107,2682662.0,58.13,908.0,75.71,64.7,85.68,2040.0,4801
92,133,31,327,52,79,7,10,2143,128,1321096.0,6.82,974.0,62.54,49.6,75.17,3761.0,1662
319,160,90,247,93,89,50,19,794,78,1322387.0,5.27,933.0,62.18,49.43,74.0,4093.0,2617
145,201,91,401,205,255,10,13,2573,146,2445203.0,8.5,943.0,65.12,50.33,79.08,4962.0,3584
50,102,61,174,56,60,0,9,1381,120,1311382.0,4.91,933.0,57.68,44.9,69.56,2266.0,1771
211,201,45,201,44,40,63,12,1202,120,1025656.0,6.43,993.0,66.92,56.97,76.87,5360.0,1334
